timestamp,kwh,building
2024-01-01 00:00:00,58.065,Admin Block
2024-01-01 00:00:00,99.202,Hostel A
2024-01-01 00:00:00,44.473,Library
2024-01-01 00:00:00,69.398,Engineering Block
2024-01-01 01:00:00,44.874,Admin Block
2024-01-01 01:00:00,121.688,Hostel A
2024-01-01 01:00:00,61.706,Engineering Block
2024-01-01 01:00:00,58.83,Library
2024-01-01 02:00:00,126.976,Hostel A
2024-01-01 02:00:00,59.018,Admin Block
2024-01-01 02:00:00,64.203,Library
2024-01-01 02:00:00,77.271,Engineering Block
2024-01-01 03:00:00,76.474,Library
2024-01-01 03:00:00,151.221,Hostel A
2024-01-01 03:00:00,65.953,Admin Block
2024-01-01 03:00:00,106.703,Engineering Block
2024-01-01 04:00:00,151.035,Hostel A
2024-01-01 04:00:00,89.521,Library
2024-01-01 04:00:00,129.883,Engineering Block
2024-01-01 04:00:00,78.156,Admin Block
2024-01-01 05:00:00,115.027,Engineering Block
2024-01-01 05:00:00,244.777,Hostel A
2024-01-01 05:00:00,98.546,Admin Block
2024-01-01 05:00:00,102.201,Library
2024-01-01 06:00:00,141.404,Engineering Block
2024-01-01 06:00:00,195.331,Hostel A
2024-01-01 06:00:00,125.163,Admin Block
2024-01-01 06:00:00,143.745,Library
2024-01-01 07:00:00,151.834,Engineering Block
2024-01-01 07:00:00,253.42,Hostel A
2024-01-01 07:00:00,147.757,Admin Block
2024-01-01 07:00:00,145.803,Library
2024-01-01 08:00:00,203.278,Engineering Block
2024-01-01 08:00:00,308.174,Hostel A
2024-01-01 08:00:00,161.723,Library
2024-01-01 08:00:00,176.118,Admin Block
2024-01-01 09:00:00,385.416,Hostel A
2024-01-01 09:00:00,204.876,Library
2024-01-01 09:00:00,185.214,Engineering Block
2024-01-01 09:00:00,183.862,Admin Block
2024-01-01 10:00:00,325.155,Hostel A
2024-01-01 10:00:00,217.743,Admin Block
2024-01-01 10:00:00,239.179,Engineering Block
2024-01-01 10:00:00,210.92,Library
2024-01-01 11:00:00,268.073,Engineering Block
2024-01-01 11:00:00,185.809,Admin Block
2024-01-01 11:00:00,440.298,Hostel A
2024-01-01 11:00:00,185.037,Library
2024-01-01 12:00:00,464.754,Hostel A
2024-01-01 12:00:00,220.711,Library
2024-01-01 12:00:00,245.73,Admin Block
2024-01-01 12:00:00,233.55,Engineering Block
2024-01-01 13:00:00,170.884,Admin Block
2024-01-01 13:00:00,189.359,Library
2024-01-01 13:00:00,332.776,Hostel A
2024-01-01 13:00:00,270.817,Engineering Block
2024-01-01 14:00:00,384.284,Hostel A
2024-01-01 14:00:00,252.227,Engineering Block
2024-01-01 14:00:00,232.285,Library
2024-01-01 14:00:00,216.546,Admin Block
2024-01-01 15:00:00,223.075,Library
2024-01-01 15:00:00,278.586,Hostel A
2024-01-01 15:00:00,184.676,Engineering Block
2024-01-01 15:00:00,183.718,Admin Block
2024-01-01 16:00:00,177.497,Admin Block
2024-01-01 16:00:00,213.109,Engineering Block
2024-01-01 16:00:00,177.948,Library
2024-01-01 16:00:00,302.071,Hostel A
2024-01-01 17:00:00,180.477,Library
2024-01-01 17:00:00,229.931,Hostel A
2024-01-01 17:00:00,131.951,Admin Block
2024-01-01 17:00:00,167.213,Engineering Block
2024-01-01 18:00:00,114.13,Library
2024-01-01 18:00:00,287.867,Hostel A
2024-01-01 18:00:00,117.295,Admin Block
2024-01-01 18:00:00,154.721,Engineering Block
2024-01-01 19:00:00,126.244,Admin Block
2024-01-01 19:00:00,200.356,Hostel A
2024-01-01 19:00:00,116.136,Library
2024-01-01 19:00:00,123.574,Engineering Block
2024-01-01 20:00:00,110.874,Admin Block
2024-01-01 20:00:00,79.339,Library
2024-01-01 20:00:00,120.773,Engineering Block
2024-01-01 20:00:00,200.984,Hostel A
2024-01-01 21:00:00,156.186,Hostel A
2024-01-01 21:00:00,76.719,Library
2024-01-01 21:00:00,71.074,Admin Block
2024-01-01 21:00:00,90.013,Engineering Block
2024-01-01 22:00:00,66.378,Engineering Block
2024-01-01 22:00:00,134.06,Hostel A
2024-01-01 22:00:00,55.272,Library
2024-01-01 22:00:00,69.015,Admin Block
2024-01-01 23:00:00,68.541,Engineering Block
2024-01-01 23:00:00,49.082,Library
2024-01-01 23:00:00,64.534,Admin Block
2024-01-01 23:00:00,88.96,Hostel A
2024-01-02 00:00:00,71.247,Engineering Block
2024-01-02 00:00:00,80.809,Hostel A
2024-01-02 00:00:00,57.003,Library
2024-01-02 00:00:00,61.785,Admin Block
2024-01-02 01:00:00,51.363,Library
2024-01-02 01:00:00,46.779,Admin Block
2024-01-02 01:00:00,106.463,Hostel A
2024-01-02 01:00:00,62.123,Engineering Block
2024-01-02 02:00:00,52.269,Admin Block
2024-01-02 02:00:00,55.546,Library
2024-01-02 02:00:00,101.399,Hostel A
2024-01-02 02:00:00,68.381,Engineering Block
2024-01-02 03:00:00,88.078,Engineering Block
2024-01-02 03:00:00,70.153,Library
2024-01-02 03:00:00,66.662,Admin Block
2024-01-02 03:00:00,153.22,Hostel A
2024-01-02 04:00:00,90.27,Library
2024-01-02 04:00:00,164.144,Hostel A
2024-01-02 04:00:00,107.508,Admin Block
2024-01-02 04:00:00,131.681,Engineering Block
2024-01-02 05:00:00,114.4,Library
2024-01-02 05:00:00,207.902,Hostel A
2024-01-02 05:00:00,94.583,Admin Block
2024-01-02 05:00:00,161.047,Engineering Block
2024-01-02 06:00:00,120.831,Library
2024-01-02 06:00:00,171.203,Engineering Block
2024-01-02 06:00:00,129.195,Admin Block
2024-01-02 06:00:00,286.009,Hostel A
2024-01-02 07:00:00,283.645,Hostel A
2024-01-02 07:00:00,182.349,Admin Block
2024-01-02 07:00:00,167.407,Library
2024-01-02 07:00:00,214.846,Engineering Block
2024-01-02 08:00:00,175.726,Admin Block
2024-01-02 08:00:00,237.003,Engineering Block
2024-01-02 08:00:00,266.836,Hostel A
2024-01-02 08:00:00,177.151,Library
2024-01-02 09:00:00,204.586,Admin Block
2024-01-02 09:00:00,216.977,Engineering Block
2024-01-02 09:00:00,195.817,Library
2024-01-02 09:00:00,299.28,Hostel A
2024-01-02 10:00:00,187.764,Admin Block
2024-01-02 10:00:00,376.571,Hostel A
2024-01-02 10:00:00,203.682,Engineering Block
2024-01-02 10:00:00,199.057,Library
2024-01-02 11:00:00,268.505,Engineering Block
2024-01-02 11:00:00,226.439,Admin Block
2024-01-02 11:00:00,388.226,Hostel A
2024-01-02 11:00:00,242.167,Library
2024-01-02 12:00:00,226.543,Library
2024-01-02 12:00:00,242.017,Admin Block
2024-01-02 12:00:00,262.184,Engineering Block
2024-01-02 12:00:00,410.886,Hostel A
2024-01-02 13:00:00,238.972,Engineering Block
2024-01-02 13:00:00,369.324,Hostel A
2024-01-02 13:00:00,187.44,Library
2024-01-02 13:00:00,170.117,Admin Block
2024-01-02 14:00:00,225.232,Library
2024-01-02 14:00:00,216.614,Engineering Block
2024-01-02 14:00:00,392.048,Hostel A
2024-01-02 14:00:00,223.007,Admin Block
2024-01-02 15:00:00,227.157,Admin Block
2024-01-02 15:00:00,332.378,Hostel A
2024-01-02 15:00:00,231.718,Library
2024-01-02 15:00:00,219.58,Engineering Block
2024-01-02 16:00:00,190.641,Admin Block
2024-01-02 16:00:00,205.621,Engineering Block
2024-01-02 16:00:00,178.359,Library
2024-01-02 16:00:00,332.112,Hostel A
2024-01-02 17:00:00,140.586,Admin Block
2024-01-02 17:00:00,167.952,Engineering Block
2024-01-02 17:00:00,311.283,Hostel A
2024-01-02 17:00:00,183.201,Library
2024-01-02 18:00:00,212.15,Hostel A
2024-01-02 18:00:00,148.841,Admin Block
2024-01-02 18:00:00,146.821,Engineering Block
2024-01-02 18:00:00,128.507,Library
2024-01-02 19:00:00,94.803,Admin Block
2024-01-02 19:00:00,132.998,Engineering Block
2024-01-02 19:00:00,195.374,Hostel A
2024-01-02 19:00:00,119.006,Library
2024-01-02 20:00:00,93.256,Library
2024-01-02 20:00:00,170.557,Hostel A
2024-01-02 20:00:00,91.437,Admin Block
2024-01-02 20:00:00,128.28,Engineering Block
2024-01-02 21:00:00,76.992,Library
2024-01-02 21:00:00,89.359,Admin Block
2024-01-02 21:00:00,95.391,Engineering Block
2024-01-02 21:00:00,150.601,Hostel A
2024-01-02 22:00:00,73.199,Library
2024-01-02 22:00:00,58.795,Admin Block
2024-01-02 22:00:00,70.275,Engineering Block
2024-01-02 22:00:00,105.408,Hostel A
2024-01-02 23:00:00,104.58,Hostel A
2024-01-02 23:00:00,58.506,Library
2024-01-02 23:00:00,51.328,Admin Block
2024-01-02 23:00:00,61.358,Engineering Block
2024-01-03 00:00:00,102.228,Hostel A
2024-01-03 00:00:00,45.465,Admin Block
2024-01-03 00:00:00,64.84,Library
2024-01-03 00:00:00,62.901,Engineering Block
2024-01-03 01:00:00,118.529,Hostel A
2024-01-03 01:00:00,59.403,Engineering Block
2024-01-03 01:00:00,58.705,Library
2024-01-03 01:00:00,45.306,Admin Block
2024-01-03 02:00:00,67.748,Engineering Block
2024-01-03 02:00:00,68.67,Admin Block
2024-01-03 02:00:00,54.891,Library
2024-01-03 02:00:00,110.514,Hostel A
2024-01-03 03:00:00,67.946,Admin Block
2024-01-03 03:00:00,74.767,Library
2024-01-03 03:00:00,92.727,Engineering Block
2024-01-03 03:00:00,147.848,Hostel A
2024-01-03 04:00:00,84.625,Admin Block
2024-01-03 04:00:00,93.601,Engineering Block
2024-01-03 04:00:00,109.517,Library
2024-01-03 04:00:00,149.355,Hostel A
2024-01-03 05:00:00,111.548,Library
2024-01-03 05:00:00,112.308,Admin Block
2024-01-03 05:00:00,134.4,Engineering Block
2024-01-03 05:00:00,205.426,Hostel A
2024-01-03 06:00:00,212.488,Hostel A
2024-01-03 06:00:00,151.33,Engineering Block
2024-01-03 06:00:00,111.252,Library
2024-01-03 06:00:00,109.571,Admin Block
2024-01-03 07:00:00,142.475,Library
2024-01-03 07:00:00,158.69,Admin Block
2024-01-03 07:00:00,200.402,Engineering Block
2024-01-03 07:00:00,328.265,Hostel A
2024-01-03 08:00:00,228.757,Engineering Block
2024-01-03 08:00:00,148.919,Admin Block
2024-01-03 08:00:00,147.477,Library
2024-01-03 08:00:00,307.798,Hostel A
2024-01-03 09:00:00,196.79,Admin Block
2024-01-03 09:00:00,245.546,Engineering Block
2024-01-03 09:00:00,234.009,Library
2024-01-03 09:00:00,392.461,Hostel A
2024-01-03 10:00:00,261.798,Engineering Block
2024-01-03 10:00:00,247.734,Library
2024-01-03 10:00:00,218.922,Admin Block
2024-01-03 10:00:00,357.57,Hostel A
2024-01-03 11:00:00,242.741,Library
2024-01-03 11:00:00,177.201,Admin Block
2024-01-03 11:00:00,240.19,Engineering Block
2024-01-03 11:00:00,446.707,Hostel A
2024-01-03 12:00:00,206.109,Admin Block
2024-01-03 12:00:00,374.623,Hostel A
2024-01-03 12:00:00,273.49,Engineering Block
2024-01-03 12:00:00,228.459,Library
2024-01-03 13:00:00,227.105,Admin Block
2024-01-03 13:00:00,236.775,Engineering Block
2024-01-03 13:00:00,358.51,Hostel A
2024-01-03 13:00:00,239.682,Library
2024-01-03 14:00:00,250.468,Engineering Block
2024-01-03 14:00:00,380.557,Hostel A
2024-01-03 14:00:00,195.764,Admin Block
2024-01-03 14:00:00,180.904,Library
2024-01-03 15:00:00,179.23,Library
2024-01-03 15:00:00,212.216,Engineering Block
2024-01-03 15:00:00,394.577,Hostel A
